term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Primary sources [Greek] with German translation		CBSC	primary sources [Greek] + German translation	primary-sources-greek-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] with Italian translation		CBSC	primary sources [Greek] + Italian translation	primary-sources-greek-with-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] with Latin translation		CBSC	primary sources [Greek] + Latin translation	primary-sources-greek-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] with Russian translation		CBSC	primary sources [Greek] + Russian translation	primary-sources-greek-with-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Hebrew] with English translation		CBSC	primary sources [Hebrew] + English translation	primary-sources-hebrew-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Italian]		CBSC	primary sources [Italian]	primary-sources-italian																																												http://syriaca.org/keyword/primaries														
Primary sources [Italian] in German translation		CBSC	primary sources [Italian] - German translation	primary-sources-italian-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Italian] with English translation		CBSC	primary sources [Italian] + English translation	primary-sources-italian-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Kurdish] with English translation		CBSC	primary sources [Kurdish] + English translation	primary-sources-kurdish-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin]		CBSC	primary sources [Latin]	primary-sources-latin																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] in English translation		CBSC	primary sources [Latin] - English translation	primary-sources-latin-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] in French translation		CBSC	primary sources [Latin] - French translation	primary-sources-latin-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] in German translation		CBSC	primary sources [Latin] - German translation	primary-sources-latin-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] in Italian translation		CBSC	primary sources [Latin] - Italian translation	primary-sources-latin-in-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] in Russian translation		CBSC	primary sources [Latin] - Russian translation	primary-sources-latin-in-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] with English translation		CBSC	primary sources [Latin] + English translation	primary-sources-latin-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] with French translation		CBSC	primary sources [Latin] + French translation	primary-sources-latin-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] with German translation		CBSC	primary sources [Latin] + German translation	primary-sources-latin-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Latin] with Russian translation		CBSC	primary sources [Latin] + Russian translation	primary-sources-latin-with-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Malayalam] in English translation		CBSC	primary sources [Malayalam] - English translation	primary-sources-malayalam-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Malayalam] in German translation		CBSC	primary sources [Malayalam] - German translation	primary-sources-malayalam-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Old French]		CBSC	primary sources [Old French]	primary-sources-old-french																																												http://syriaca.org/keyword/primaries														
Primary sources [Old French] in English translation		CBSC	primary sources [Old French] - English translation	primary-sources-old-french-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Old French] with Dutch translation		CBSC	primary sources [Old French] + Dutch translation	primary-sources-old-french-with-dutch-translation																																												http://syriaca.org/keyword/primaries														
